Test Type,Soil Type,Shaft Shape,Shaft diameter(mm),Depth (m),Age(days),Rum(kN),Number of Helix,Effective Helix Diameter,T(kN.m)
C,Clay,SS,38,8.8,13,237,1,203,7.5
C,Clay,SS,38,7.3,7,222,1,203,8.1
C,Clay,SS,38,5.8,29,81,1,203,2.2
C,Clay,SS,38,5.8,6,245,1,203,8.1
C,Clay,SS,38,4.3,6,68,1,203,2.2
C,Clay,SS,38,6.3,8,122,1,305,3.9
C,Clay,SS,38,6.6,9,301,1,305,8.2
C,Clay,SS,38,7.3,5,218,1,305,7.5
C,Clay,SS,38,6.3,7,279,1,356,8.1
C,Clay,SS,38,4.6,6,127,1,356,3.5
C,Clay,SS,38,4.3,4,72,1,356,1.9
C,Clay,SS,38,3.7,30,166,1,356,7.6
C,Clay,SS,38,5.5,5,263,1,356,8.1
C,Clay,SS,44,7.5,4,407,1,203,12
C,Clay,SS,44,7.3,3,439,1,356,14
C,Clay,SS,44,5.6,12,239,1,356,11
C,Clay,SS,38,5.6,9,186,2,305,4.2
C,Clay,SS,38,4.6,7,165,2,305,3.7
C,Clay,SS,38,4,4,59,2,305,1.6
C,Clay,SS,38,4,5,155,2,305,3.5
C,Clay,SS,38,5.6,9,186,3,305,4.1
C,Clay,SS,38,4.9,6,181,3,305,4.3
C,Clay,SS,38,4.6,27,218,3,305,9.8
C,Clay,SS,38,4.7,27,311,3,305,9.8
C,Clay,SS,38,4.1,4,78,3,305,2.2
C,Clay,SS,38,3.1,5,236,3,305,5.4
C,Clay,SS,44,5.5,3,400,2,254,14
C,Clay,SS,44,5.2,6,353,2,254,14
C,Clay,SS,44,4.9,2,305,2,305,11
C,Clay,SS,44,4.4,3,426,3,305,11
C,Clay,RS,73,4.6,21,157,1,203,8.7
C,Clay,RS,73,8.4,2,272,1,203,11
C,Clay,RS,73,5,1,309,1,203,11
C,Clay,RS,73,8.1,1,309,1,203,11
C,Clay,RS,73,7.3,35,285,1,203,11
C,Clay,RS,73,4.6,2,154,1,203,3.9
C,Clay,RS,73,4,13,118,1,203,4.1
C,Clay,RS,73,4,28,160,1,203,4.4
C,Clay,RS,73,4.9,9,185,1,203,4.5
C,Clay,RS,73,5.5,2,242,1,203,11
C,Clay,RS,73,4.9,2,142,1,203,4.3
C,Clay,RS,73,8.2,1,301,1,203,8.1
C,Clay,RS,73,8.2,1,173,1,203,8
C,Clay,RS,73,5.5,11,186,1,305,4.6
C,Clay,RS,73,7.8,2,264,1,305,11
C,Clay,RS,73,7.2,2,248,1,305,8.1
C,Clay,RS,73,3.1,3,115,1,305,3.8
C,Clay,RS,73,7,6,212,1,305,8
C,Clay,RS,73,3.1,21,223,1,356,8.1
C,Clay,RS,73,4.3,3,171,1,356,6.5
C,Clay,RS,73,5,0,177,1,356,6
C,Clay,RS,73,3.9,0,96,1,356,2.7
C,Clay,RS,73,4.6,1,126,1,356,4.7
C,Clay,RS,73,1.2,1,128,1,356,4.1
C,Clay,RS,73,6.7,2,259,1,356,11
C,Clay,RS,73,3.2,2,110,1,356,2.7
C,Clay,RS,73,6.7,35,389,1,356,11
C,Clay,RS,73,6.5,36,227,1,356,11
C,Clay,RS,73,4.3,1,261,1,356,11
C,Clay,RS,73,4,2,136,1,356,4.9
C,Clay,RS,73,3.8,7,110,1,356,3.4
C,Clay,RS,73,3.8,13,258,1,356,8.8
C,Clay,RS,73,4,6,88,1,356,3.3
C,Clay,RS,73,4,28,260,1,356,9.7
C,Clay,RS,73,4.3,14,93,1,356,3.6
C,Clay,RS,73,4.3,9,189,1,356,6.3
C,Clay,RS,73,5.2,0,265,1,356,11
C,Clay,RS,73,2.1,0,122,1,356,4.2
C,Clay,RS,76,8.3,6,289,1,203,9.9
C,Clay,RS,76,7.8,5,245,1,203,12
C,Clay,RS,76,7.6,6,311,1,356,10
C,Clay,RS,76,7.6,5,434,1,356,11
C,Clay,RS,76,3.1,0,245,1,356,5.7
C,Clay,RS,76,4.9,0,176,1,356,7.2
C,Clay,RS,76,4.6,0,207,1,356,6.8
C,Clay,RS,89,4.6,15,147,1,203,5.9
C,Clay,RS,89,4,2,169,1,203,10
C,Clay,RS,89,4.6,30,189,1,203,5
C,Clay,RS,89,4.6,17,198,1,203,3.5
C,Clay,RS,89,8.2,14,329,1,203,17
C,Clay,RS,89,7.6,8,269,1,203,14
C,Clay,RS,89,7.5,17,409,1,203,19
C,Clay,RS,89,5.2,11,239,1,254,8.7
C,Clay,RS,89,5.2,12,354,1,305,11
C,Clay,RS,89,4.3,15,391,1,356,12
C,Clay,RS,89,4.3,12,353,1,356,9.2
C,Clay,RS,89,4,2,127,1,356,5.8
C,Clay,RS,89,3.7,2,281,1,356,14
C,Clay,RS,89,3.7,10,121,1,356,4.3
C,Clay,RS,89,4.6,30,358,1,356,13
C,Clay,RS,89,3.7,9,109,1,356,4.5
C,Clay,RS,89,4,17,313,1,356,10
C,Clay,RS,89,8.1,8,367,1,356,17
C,Clay,RS,89,4.5,3,140,1,356,6.4
C,Clay,RS,89,6.3,8,267,1,356,16
C,Clay,RS,89,4.1,6,214,1,356,6.6
C,Clay,RS,89,7,21,349,1,356,19
C,Clay,RS,89,3.3,20,154,1,356,5.8
C,Clay,RS,89,4.9,11,121,1,406,4.6
C,Clay,RS,114,4.6,11,246,1,254,12
C,Clay,RS,114,4.4,11,224,1,254,11
C,Clay,RS,114,4,15,147,1,406,6
C,Clay,RS,114,4.3,15,132,1,406,7
C,Clay,RS,114,4.6,11,309,1,406,20
C,Clay,RS,114,4,10,314,1,406,25
C,Clay,RS,73,3.7,7,163,2,254,3.6
C,Clay,RS,73,4.3,2,189,2,305,7.3
C,Clay,RS,73,4.3,1,139,2,305,4.4
C,Clay,RS,73,3.3,1,124,2,305,3.3
C,Clay,RS,73,3.7,1,168,2,305,4.6
C,Clay,RS,73,3.7,7,120,2,305,4.5
C,Clay,RS,73,4,6,80,2,305,2.8
C,Clay,RS,73,4.9,14,116,2,305,3.4
C,Clay,RS,73,5.3,2,262,2,305,9.2
C,Clay,RS,73,6.1,3,186,2,305,5.3
C,Clay,RS,73,3.1,6,97,2,305,2.4
C,Clay,RS,73,1.9,2,222,2,305,6.2
C,Clay,RS,73,4.3,23,385,2,305,12
C,Clay,RS,73,4.3,22,383,2,305,12
C,Clay,RS,73,4,2,279,2,305,7.2
C,Clay,RS,73,4.4,15,173,2,305,5.1
C,Clay,RS,73,3.3,1,149,2,305,3.9
C,Clay,RS,73,4,1,149,2,305,5.4
C,Clay,RS,73,4.3,14,356,2,305,11
C,Clay,RS,73,4.3,14,374,2,305,11
C,Clay,RS,73,4,7,83,2,305,3.4
C,Clay,RS,73,5.3,3,376,2,305,17
C,Clay,RS,73,3.8,6,82,2,305,3.4
C,Clay,RS,73,3.2,9,243,2,305,7.9
C,Clay,RS,73,3.4,8,235,2,305,7.9
C,Clay,RS,73,4.6,15,141,2,305,4.8
C,Clay,RS,73,4.1,2,209,2,305,5.2
C,Clay,RS,73,4.6,3,174,2,305,4.4
C,Clay,RS,73,4.6,6,173,2,305,4.2
C,Clay,RS,73,2,1,240,2,305,6.6
C,Clay,RS,76,7,1,447,2,305,15
C,Clay,RS,76,7.6,1,432,2,305,15
C,Clay,RS,76,4.9,0,169,2,305,6.8
